timestamp,experiment_id,provider,model,input_tokens,output_tokens,cost_usd,run_id
2026-09-25T20:55:08.617814+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,274,8,3.06e-05,9c6d800a7635
2026-09-25T20:55:09.242708+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,239,8,2.71e-05,9c6d800a7635
2026-09-25T20:55:09.994565+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,361,18,4.33e-05,9c6d800a7635
2026-09-25T20:55:10.615414+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,354,8,3.86e-05,9c6d800a7635
2026-09-25T20:55:11.214093+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,246,8,2.78e-05,9c6d800a7635
2026-09-25T20:55:11.871447+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,430,8,4.62e-05,9c6d800a7635
2026-09-25T20:55:12.476707+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,285,8,3.17e-05,9c6d800a7635
2026-09-25T20:55:13.220567+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,374,18,4.46e-05,9c6d800a7635
2026-09-25T20:55:13.871338+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,528,8,5.6000000000000006e-05,9c6d800a7635
2026-09-25T20:55:14.510501+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,209,8,2.4100000000000003e-05,9c6d800a7635
2026-09-25T20:55:15.238128+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,487,8,5.19e-05,9c6d800a7635
2026-09-25T20:55:15.907771+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,346,8,3.78e-05,9c6d800a7635
2026-09-25T20:55:16.538135+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,220,8,2.5200000000000003e-05,9c6d800a7635
2026-09-25T20:55:17.522001+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,315,8,3.47e-05,9c6d800a7635
2026-09-25T20:55:18.575445+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,297,18,3.69e-05,9c6d800a7635
2026-09-25T20:55:19.242808+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,303,8,3.35e-05,9c6d800a7635
2026-09-25T20:55:19.948378+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,214,18,2.8600000000000004e-05,9c6d800a7635
2026-09-25T20:55:20.609276+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,368,8,3.9999999999999996e-05,9c6d800a7635
2026-09-25T20:55:21.281971+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,314,8,3.46e-05,9c6d800a7635
2026-09-25T20:55:22.054775+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,267,18,3.39e-05,9c6d800a7635
2026-09-25T20:55:23.096100+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,257,18,3.29e-05,9c6d800a7635
2026-09-25T20:55:23.738931+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,250,8,2.82e-05,9c6d800a7635
2026-09-25T20:55:24.384275+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,304,8,3.3600000000000004e-05,9c6d800a7635
2026-09-25T20:55:24.941527+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,239,8,2.71e-05,9c6d800a7635
2026-09-25T20:55:25.719553+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,331,18,4.0300000000000004e-05,9c6d800a7635
2026-09-25T20:55:26.380407+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,263,18,3.35e-05,9c6d800a7635
2026-09-25T20:55:27.004919+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,330,18,4.02e-05,9c6d800a7635
2026-09-25T20:55:27.818973+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,323,8,3.5499999999999996e-05,9c6d800a7635
2026-09-25T20:55:28.516866+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,239,8,2.71e-05,9c6d800a7635
2026-09-25T20:55:29.132624+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,297,8,3.29e-05,9c6d800a7635
2026-09-25T20:55:29.790136+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,242,18,3.1400000000000004e-05,9c6d800a7635
2026-09-25T20:55:30.437854+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,246,8,2.78e-05,9c6d800a7635
2026-09-25T20:55:31.178933+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,543,18,6.15e-05,9c6d800a7635
2026-09-25T20:55:31.910235+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,419,18,4.91e-05,9c6d800a7635
2026-09-25T20:55:32.636960+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,279,8,3.11e-05,9c6d800a7635
2026-09-25T20:55:33.374992+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,220,18,2.9200000000000005e-05,9c6d800a7635
2026-09-25T20:55:34.115422+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,324,8,3.56e-05,9c6d800a7635
2026-09-25T20:55:34.795794+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,360,18,4.32e-05,9c6d800a7635
2026-09-25T20:55:35.477391+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,355,18,4.27e-05,9c6d800a7635
2026-09-25T20:55:36.102757+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,309,18,3.81e-05,9c6d800a7635
2026-09-25T20:55:36.817140+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,252,18,3.24e-05,9c6d800a7635
2026-09-25T20:55:37.514744+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,373,18,4.4500000000000004e-05,9c6d800a7635
2026-09-25T20:55:38.160887+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,253,8,2.8500000000000005e-05,9c6d800a7635
2026-09-25T20:55:38.885993+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,464,18,5.36e-05,9c6d800a7635
2026-09-25T20:55:39.540800+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,281,18,3.5300000000000004e-05,9c6d800a7635
2026-09-25T20:55:40.178419+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,304,8,3.3600000000000004e-05,9c6d800a7635
2026-09-25T20:55:40.927929+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,282,18,3.540000000000001e-05,9c6d800a7635
2026-09-25T20:55:41.549697+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,419,8,4.51e-05,9c6d800a7635
2026-09-25T20:55:42.253914+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,213,18,2.85e-05,9c6d800a7635
2026-09-25T20:55:43.140437+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,342,18,4.1400000000000003e-05,9c6d800a7635
2026-09-25T20:55:43.769274+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,301,18,3.73e-05,9c6d800a7635
2026-09-25T20:55:44.404198+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,330,8,3.62e-05,9c6d800a7635
2026-09-25T20:55:45.119470+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,289,8,3.2099999999999994e-05,9c6d800a7635
2026-09-25T20:55:45.783579+00:00,E01_oracle,openrouter,google/gemini-2.5-flash-lite,263,8,2.9500000000000002e-05,9c6d800a7635
